09:47:53. INFO  manager.ApplicationManager - All tests starts in 'Chrome' browser
09:47:54. INFO  manager.ApplicationManager - Link ------->https://contacts-app.tobbymarshall815.vercel.app/login
09:47:54. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
09:48:14. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
09:48:14. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[text()='LOGIN']
09:48:14. INFO  manager.MyListener - The element with locator --->By.xpath: //a[text()='LOGIN']was found
09:48:14. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[1]
09:48:14. INFO  manager.MyListener - The element with locator --->By.xpath: //input[1]was found
09:48:15. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[2]
09:48:15. INFO  manager.MyListener - The element with locator --->By.xpath: //input[2]was found
09:48:15. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[1]
09:48:15. INFO  manager.MyListener - The element with locator --->By.xpath: //button[1]was found
09:48:15. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
09:48:16. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
09:48:16. INFO  tests.TestBase - The test 'Add new contact starts with count of contact---->29
09:48:16. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [href='/add']
09:48:16. INFO  manager.MyListener - The element with locator --->By.cssSelector: [href='/add']was found
09:48:16. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Name']
09:48:16. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Name']was found
09:48:16. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Last Name']
09:48:16. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Last Name']was found
09:48:16. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Phone']
09:48:16. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Phone']was found
09:48:16. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='email']
09:48:16. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='email']was found
09:48:16. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Address']
09:48:16. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Address']was found
09:48:17. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='description']
09:48:17. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='description']was found
09:48:17. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .add_form__2rsm2 button
09:48:17. INFO  manager.MyListener - The element with locator --->By.cssSelector: .add_form__2rsm2 buttonwas found
09:48:17. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
09:48:17. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
09:48:17. INFO  tests.TestBase - The test 'Add new contact' ends with count of contact in the end --->30
09:48:19. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h2
09:48:19. INFO  manager.MyListener - The element with locator --->By.cssSelector: h2was found
09:48:19. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h3
09:48:19. INFO  manager.MyListener - The element with locator --->By.cssSelector: h3was found
09:48:20. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
09:48:20. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
09:48:20. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
09:48:20. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
09:48:20. INFO  tests.TestBase - The test 'Add new contact starts with count of contact---->30
09:48:20. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [href='/add']
09:48:20. INFO  manager.MyListener - The element with locator --->By.cssSelector: [href='/add']was found
09:48:20. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Name']
09:48:20. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Name']was found
09:48:20. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Last Name']
09:48:20. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Last Name']was found
09:48:20. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Phone']
09:48:20. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Phone']was found
09:48:20. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='email']
09:48:20. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='email']was found
09:48:20. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Address']
09:48:20. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Address']was found
09:48:20. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='description']
09:48:20. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='description']was found
09:48:20. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .add_form__2rsm2 button
09:48:20. INFO  manager.MyListener - The element with locator --->By.cssSelector: .add_form__2rsm2 buttonwas found
09:48:20. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
09:48:21. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
09:48:21. INFO  tests.TestBase - The test 'Add new contact' ends with count of contact in the end --->31
09:48:23. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h2
09:48:23. INFO  manager.MyListener - The element with locator --->By.cssSelector: h2was found
09:48:23. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h3
09:48:23. INFO  manager.MyListener - The element with locator --->By.cssSelector: h3was found
09:48:23. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
09:48:23. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
09:48:23. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
09:48:23. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
09:48:23. INFO  tests.TestBase - The test 'Add new contact starts with count of contact---->31
09:48:23. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [href='/add']
09:48:23. INFO  manager.MyListener - The element with locator --->By.cssSelector: [href='/add']was found
09:48:23. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Name']
09:48:23. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Name']was found
09:48:23. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Last Name']
09:48:23. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Last Name']was found
09:48:24. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Phone']
09:48:24. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Phone']was found
09:48:24. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='email']
09:48:24. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='email']was found
09:48:24. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Address']
09:48:24. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Address']was found
09:48:24. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='description']
09:48:24. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='description']was found
09:48:24. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .add_form__2rsm2 button
09:48:24. INFO  manager.MyListener - The element with locator --->By.cssSelector: .add_form__2rsm2 buttonwas found
09:48:24. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
09:48:24. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
09:48:24. INFO  tests.TestBase - The test 'Add new contact' ends with count of contact in the end --->32
09:48:26. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h2
09:48:27. INFO  manager.MyListener - The element with locator --->By.cssSelector: h2was found
09:48:27. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: h3
09:48:27. INFO  manager.MyListener - The element with locator --->By.cssSelector: h3was found
09:48:27. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
09:48:27. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
09:48:27. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
09:48:27. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
09:48:27. INFO  tests.TestBase - The test 'Add new contact' starts with count of contact---->32
09:48:27. INFO  tests.TestBase - The test 'Add new contact' starts with data ---->Contact{name='Mona', lastName='Dow', email='monaa@gmail.com', phone='3214598760', address='Haifa', description='friend'}
09:48:27. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [href='/add']
09:48:27. INFO  manager.MyListener - The element with locator --->By.cssSelector: [href='/add']was found
09:48:27. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Name']
09:48:27. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Name']was found
09:48:27. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Last Name']
09:48:27. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Last Name']was found
09:48:27. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Phone']
09:48:27. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Phone']was found
09:48:27. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='email']
09:48:27. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='email']was found
09:48:28. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='Address']
09:48:28. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='Address']was found
09:48:28. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [placeholder='description']
09:48:28. INFO  manager.MyListener - The element with locator --->By.cssSelector: [placeholder='description']was found
09:48:28. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .add_form__2rsm2 button
09:48:28. INFO  manager.MyListener - The element with locator --->By.cssSelector: .add_form__2rsm2 buttonwas found
09:48:28. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
09:48:48. INFO  manager.MyListener - The element with locator --->By.cssSelector: .contact-item_card__2SOIMwas found
09:48:48. INFO  tests.TestBase - The test 'Add new contact' ends with count of contact in the end --->0
09:48:50. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
